Action speed (MB/min),Command Line,Destination directory,Directories created,Directories processed,Elapsed time in sec.,Exit code,File name template,Files copied,Log File Appended,Source base directory,Total data in bytes,date,time,windows version,xxcopy version
245.6,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",51,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:12:22, 5.2.3790 service pack 2,2.97.5
252.9,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",49.51,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:18:01, 5.2.3790 service pack 2,2.97.5
262.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",47.65,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:23:28, 5.2.3790 service pack 2,2.97.5
246.5,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",50.8,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:28:54, 5.2.3790 service pack 2,2.97.5
272,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",46.05,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:34:16, 5.2.3790 service pack 2,2.97.5
263.1,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",47.61,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:39:34, 5.2.3790 service pack 2,2.97.5
261.7,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",47.86,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:44:53, 5.2.3790 service pack 2,2.97.5
256.5,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",48.83,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:50:10, 5.2.3790 service pack 2,2.97.5
257.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",48.58,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,09:55:32, 5.2.3790 service pack 2,2.97.5
252.4,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""R:\speed-test\little_files\""",76,"1,491",49.61,"0 (No error, Successful operation)","""*""",532,"24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log,"""X:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-22,10:00:59, 5.2.3790 service pack 2,2.97.5
Action speed (MB/min),Command Line,Destination directory,Directories processed,Elapsed time in sec.,Exit code,File name template,Files copied,Log File Appended,Source base directory,Total data in bytes,date,time,windows version,xxcopy version
598.2,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,52.89,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:13:24, 5.2.3790 service pack 2,2.97.5
576.9,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,54.84,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:19:02, 5.2.3790 service pack 2,2.97.5
601.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,52.58,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:24:27, 5.2.3790 service pack 2,2.97.5
570.4,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,55.47,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:29:57, 5.2.3790 service pack 2,2.97.5
589.7,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,53.66,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:35:14, 5.2.3790 service pack 2,2.97.5
577.2,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,54.81,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:40:34, 5.2.3790 service pack 2,2.97.5
584.7,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,54.11,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:45:52, 5.2.3790 service pack 2,2.97.5
598.4,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,52.88,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:51:10, 5.2.3790 service pack 2,2.97.5
606.3,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,52.19,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,09:56:32, 5.2.3790 service pack 2,2.97.5
